Title,Genre,Theme,Mode,Perspective,Source, File Location,Status,Difficulty (out of 5),Game Length (in hours),File Size (in GB),Top 100,Single-Player,Open World,Action RPG,Action-Adventure,Other,Best Lists,IGN,IGDB,OpenCritic,MetaCritic,GameRankings,Avg. Score,Personal Rating,Owned?,MapGenie?,Save Wizard?,Comments,,,
Arc of Alchemist,"Role-playing (RPG), Tactical, Adventure","Action, Fantasy, Science Fiction",Single Player,"Third Person, Auditory",Digital Download,Drive 4,Unplayed,3.13,20.66,4.06,,,,,,,0,5.80,5.20,4.30,4.60,N/A,4.98,0,Y,N,Y,,,,
Arc the Lad: Twilight of the Spirits,"Role-playing (RPG), Turn-based Strategy (TBS), Tactical, Adventure",Fantasy,Single Player,Bird view/Isometric,Playstation Plus,Drive 4,Unplayed,2.77,60.73,2.85,,,,,,,0,8.20,8.00,N/A,7.20,7.47,7.72,,Y,N,N,,,,
Arcadegeddon,"Shooter, Adventure, Indie",Action,"Single Player, Multiplayer, Co-operative",Third Person,Playstation Plus,Drive 3,Unplayed,3.58,64.43,9.96,,,,,,,0,5.60,6.80,7.50,7.30,N/A,6.80,0,Y,N,N,,,,
Arcania - The Complete Tale,"Role-playing (RPG), Adventure",Action,Single Player,Third Person,Digital Download,Drive 1,Unplayed,2.60,55.63,5.79,,,,,,,0,5.90,7.50,7.60,4.20,4.00,5.84,,Y,N,Y,,,,
Arise: A Simple Story,"Platform, Puzzle, Adventure, Indie","Action, Drama","Single Player, Co-operative","Third Person, Side View",Digital Download,Drive 1,Unplayed,3.00,12.50,10.20,,,,,,,0,7.80,8.60,8.20,8.00,N/A,8.15,,Y,N,N,,,,
ARK: Survival Evolved,"Shooter, Role-playing (RPG), Adventure, Indie, Simulator","Action, Survival, Sandbox, Open World","Single Player, Multiplayer, Co-operative, Split Screen, Massively Multiplayer Online (MMO), Battle Royale","First Person, Third Person, Virtual Reality",N/A,N/A,N/A,3.92,206.00,15.69,,,,,,,0,7.70,6.90,6.10,7.00,6.77,6.89,,N,N,N,,,,
Armored Core VI: Fires of Rubicon,Shooter,"Action, Science Fiction","Single Player, Multiplayer, Co-operative",Third Person,N/A,N/A,N/A,3.93,49.00,42.80,,,,,,,0,8.00,8.70,8.50,8.60,N/A,8.45,,N,N,Y,,,,
Arslan: The Warriors of Legend,"Role-playing (RPG), Hack and Slash/Beat 'em up","Action, Fantasy, Warfare","Single Player, Multiplayer, Co-operative, Split Screen",Third Person,N/A,N/A,N/A,2.81,16.98,N/A,,,,,,,0,6.90,6.70,7.00,6.90,7.09,6.92,0,N,N,Y,,,,
Arzette: The Jewel of Faramore,"Platform, Hack and Slash/Beat 'em up, Adventure, Indie","Action, Fantasy",Single Player,Side View,N/A,N/A,N/A,3.43,11.75,N/A,,,,,,,0,7.80,8.00,7.60,7.70,N/A,7.78,,N,N,Y,,,,
Ashen,"Role-playing (RPG), Adventure, Indie","Action, Fantasy, Survival, Open World","Single Player, Multiplayer, Co-operative",Third Person,Digital Download,Drive 2,Unplayed,4.07,27.00,6.29,,,,,,,0,8.50,8.30,8.00,7.80,7.68,8.06,,Y,N,Y,,,,
