Title,Game Genre,Theme,Mode,Perspective,Folder,Status,Difficulty (out of 5),Game Length (in hours),File Size (in GB),IGN,IGDB,OpenCritic,MetaCritic,GameRankings,Avg. Score,Personal Ranking,Owned,Source,Mods?
Bases Loaded,Sport,Action,"Single Player, Split Screen","Third Person, Bird view/Isometric",Sports & Racing,Unplayed,3.03,54.98,0.03,4.50,7.70,N/A,N/A,N/A,6.10,,Y,ROM,N
Batman Arkham Origins Blackgate,"Shooter, Hack and Slash/Beat 'em up, Adventure","Action, Stealth",Single Player,Third Person,Batman,Unplayed,3.52,19.38,2.91,7.40,7.30,5.90,6.10,6.96,6.73,0,Y,ROM,Y
Batman: Arkham City Armored Edition,"Hack and Slash/Beat 'em up, Adventure","Action, Stealth, Open World",Single Player,Third Person,Batman,Unplayed,3.28,62.77,18.48,9.50,8.20,N/A,8.50,8.49,8.67,,Y,ROM,Y
Batman: Arkham Origins,"Hack and Slash/Beat 'em up, Adventure","Action, Stealth, Open World","Single Player, Multiplayer",Third Person,Batman,Unplayed,3.27,106.80,13.91,7.80,7.10,N/A,6.80,7.05,7.19,,Y,ROM,Y
Bayonetta,"Shooter, Hack and Slash/Beat 'em up, Adventure","Action, Fantasy",Single Player,Third Person,Bayonetta,Unplayed,3.86,170.95,11.98,9.50,8.30,8.50,9.00,8.41,8.74,,Y,ROM,Y
Bayonetta 2,"Shooter, Hack and Slash/Beat 'em up, Adventure","Action, Fantasy","Single Player, Multiplayer",Third Person,Bayonetta,Unplayed,3.63,73.15,15.52,9.50,9.10,9.10,9.10,9.14,9.19,0,Y,ROM,Y
Ben 10: Omniverse,"Platform, Hack and Slash/Beat 'em up, Adventure","Action, Science Fiction","Single Player, Multiplayer",Third Person,Ben 10,Unplayed,3.15,8.45,3.09,6.90,7.00,N/A,4.30,3.98,5.54,0,Y,ROM,N
Ben 10: Omniverse 2,"Fighting, Hack and Slash/Beat 'em up, Adventure","Action, Science Fiction",Single Player,,Ben 10,Unplayed,3.70,14.00,3.10,5.60,4.00,N/A,3.30,N/A,4.30,0,Y,ROM,N
Bomberman '94,"Strategy, Tactical","Action, Science Fiction, Party","Single Player, Multiplayer",Bird view/Isometric,Bomberman,Unplayed,N/A,5.70,0.21,8.00,8.80,N/A,N/A,N/A,8.40,,Y,ROM,N
Bomberman 64,"Platform, Puzzle, Adventure","Action, Science Fiction, Party","Single Player, Multiplayer",Third Person,Bomberman,Unplayed,3.28,31.75,0.05,7.60,6.90,N/A,8.70,6.89,7.52,,Y,ROM,Y
Bomberman Panic Bomber,Puzzle,Fantasy,"Single Player, Multiplayer",Side View,Bomberman,Unplayed,3.25,2.30,0.18,6.00,N/A,N/A,N/A,N/A,6.00,,Y,ROM,N
Breath of Fire,Role-playing (RPG),"Action, Fantasy",Single Player,Bird view/Isometric,Breath of Fire,Unplayed,3.07,41.13,0.00,7.60,7.50,N/A,7.90,7.59,7.65,,Y,ROM,Y
Breath of Fire II,"Role-playing (RPG), Strategy, Adventure","Action, Fantasy",Single Player,Bird view/Isometric,Breath of Fire,Unplayed,3.31,72.17,0.00,8.30,7.70,N/A,8.10,7.48,7.90,0,Y,ROM,Y
Buddy and Me Dream Edition,"Platform, Adventure",Action,"Single Player, Multiplayer, Split Screen",Third Person,N/A,Unplayed,2.75,N/A,0.27,8.12,N/A,6.70,6.30,6.50,6.91,,Y,ROM,Y
Bully: Scholarship Edition,Adventure,"Action, Comedy, Sandbox, Open World",Single Player,Third Person,N/A,In-Progress,2.97,55.63,2.74,8.90,8.00,N/A,8.00,8.30,8.30,0,Y,Physical,Y
Call of Duty Black Ops II,Shooter,"Action, Science Fiction, Warfare","Single Player, Multiplayer, Co-operative, Split Screen",First Person,N/A,N/A,3.03,109.90,18.98,9.30,7.80,N/A,8.30,8.61,8.50,0,N,N/A,Y
Captain Toad Treasure Tracker,"Platform, Puzzle, Strategy","Action, Fantasy",Single Player,Third Person,N/A,Unplayed,2.77,29.68,2.55,8.20,8.20,8.20,8.10,8.10,8.16,0,Y,ROM,Y
Cars 3: Driven to Win,Racing,Action,"Single Player, Multiplayer, Split Screen",Third Person,Sports & Racing,Unplayed,2.56,60.22,2.64,6.30,7.00,6.70,7.20,6.58,6.76,,Y,ROM,Y
Castlevania,"Platform, Puzzle, Hack and Slash/Beat 'em up, Adventure","Action, Horror",Single Player,"First Person, Third Person",Castlevania,Unplayed,3.57,17.13,0.00,7.50,7.50,6.00,7.40,7.27,7.13,,Y,ROM,N
Castlevania II: Simon's Quest,"Platform, Role-playing (RPG), Adventure","Action, Fantasy, Horror",Single Player,Side View,Castlevania,Unplayed,3.61,14.65,0.00,7.00,5.90,N/A,N/A,N/A,6.45,,Y,ROM,Y
Castlevania III: Dracula's Curse,"Platform, Adventure","Action, Horror",Single Player,Side View,Castlevania,Unplayed,4.15,16.58,0.00,9.00,7.50,N/A,N/A,N/A,8.25,,Y,ROM,N
Castlevania: Aria of Sorrow,"Platform, Role-playing (RPG), Adventure","Action, Horror",Single Player,Side View,Castlevania,Unplayed,3.05,24.37,0.00,9.30,8.60,N/A,9.10,8.79,8.95,0,Y,Download,N
Castlevania: Circle of the Moon,"Platform, Role-playing (RPG), Adventure","Action, Horror",Single Player,Side View,Castlevania,Unplayed,3.66,36.13,0.00,9.00,9.00,N/A,9.10,8.81,8.98,0,Y,Download,N
Castlevania: Dracula X,"Platform, Adventure","Action, Horror",Single Player,Side View,Castlevania,Unplayed,3.93,9.83,0.00,6.90,9.00,N/A,8.00,6.75,7.66,,Y,ROM,Y
Castlevania: Harmony of Dissonance,"Platform, Role-playing (RPG), Adventure",Action,Single Player,Side View,Castlevania,Unplayed,2.96,80.37,0.00,9.20,7.50,N/A,8.70,8.51,8.48,0,Y,Download,N
Chariot,"Platform, Puzzle, Strategy, Adventure, Indie","Action, Comedy, Kids","Single Player, Multiplayer, Co-operative",Side View,N/A,Unplayed,4.06,33.53,0.48,6.80,7.30,7.50,7.30,8.10,7.40,,Y,ROM,N
